governo,descricao,codOrgao,orgao,codUnidade,unidade,codPrograma,programa,codAcao,acao,segmento,codLocalizador,produto,medidaProvisoria,origemDado,link,tipo,anunciado,empenhado,liquidado,pago,dataInformacao
federal,Análise de crédito com aval da União para municípios,25000,Ministério da Fazenda,,,,,GF07,Análise de crédito com aval da União para municípios,Assistência aos municípios,LOCAGF07,17 projetos em 14 municípios,,Comunicação Governo Federal,,Recursos novos,1.800.000.000,1.800.000.000,,,
federal,Apoio Financeiro aos Municípios,73000,"Transferências a Estados, Distrito Federal e Municípios",73101,Recursos sob Supervisão do Ministério da Fazenda,0903,Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica,00WF,Apoio Financeiro aos Municípios do Estado do Rio Grande do Sul com Estado de Calamidade Pública Reconhecido pelo Poder Executivo Federal,Assistência aos municípios,00WF6500,Não especificado,MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,189.856.138,,,,
federal,Suspensão pagamento de dívidas,25000,Ministério da Fazenda,,,,,GF06,Suspensão pagamento de dívidas,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF06,Não especificado,,Comunicação Governo Federal,,Antecipação de benefícios ou adiamento de tributos,300.000.000,,,,
federal,Subvenção Econômica em Operações de Investimento Rural e Agroindustrial,74000,Operações Oficiais de Crédito,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional - Ministério da Fazenda,1144,Agropecuária Sustentável,0301,"Subvenção Econômica em Operações de Investimento Rural e Agroindustrial (Lei nº 8.427, de 1992)",Assistência Empresarial ou Auxílio ao Produtor Rural,03016501,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,400.000.000,,,,
federal,FGI para Pequenas e Médias Empresas no âmbito do Programa Emergencial de Acesso a Crédito,71000,Encargos Financeiros da União,71101,Recursos sob Supervisão do Ministério da Fazenda,0909,Operações Especiais: Outros Encargos Especiais,00ED,Integralização de cotas do Fundo Garantidor para Investimentos - FGI para Pequenas e Médias Empresas no âmbito do Programa Emergencial de Acesso a Crédito,Assistência Empresarial ou Auxílio ao Produtor Rural,00ED6501,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,450.000.000,,,,
federal,Subvenção Econômica em Operações no âmbito do Pronaf,74000,Operações Oficiais de Crédito,74101,Recursos sob Supervisão da Secretaria do Tesouro Nacional - Ministério da Fazenda,1191,Agricultura Familiar e Agroecologia,0281,"Subvenção Econômica em Operações no âmbito do Programa Nacional de Fortalecimento da Agricultura Familiar - PRONAF (Lei nº 8.427, de 1992)",Assistência Empresarial ou Auxílio ao Produtor Rural,02816502,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,600.000.000,,,,
federal,Autoriza a União a aumentar a sua participação no Fundo Garantidor de Operações - FGO para a cobertura das operações contratadas no âmbito do Programa Nacional de Fortalecimento da Agricultura Familiar - Pronaf e do Programa Nacional de Apoio ao Médio Produtor Rural - Pronamp,,,,,,,GF14,Aumento do FGO do Programa Nacional de Fortalecimento ,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF14,Não especificado,MP Nº 1.226,Medida Provisória,https://www.in.gov.br/web/dou/-/medida-provisoria-n-1.226-de-29-de-maio-de-2024-562744504,Recursos novos,600.000.000,,,,
federal,Subvenção Econômica em Operações no âmbito do Pronampe,74000,Operações Oficiais de Crédito,74120,"Recursos sob Supervisão do Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte",0909,Operações Especiais: Outros Encargos Especiais,00WB,"Subvenção Econômica em Operações no âmbito do Programa Nacional de Apoio a Microempresas e Empresas de Pequeno Porte - PRONAMPE (Medida Provisória nº 1.216, de 2024)",Assistência Empresarial ou Auxílio ao Produtor Rural,00WB6500,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,1.000.000.000,,,,
federal,Nova linha de crédito,24000,"Ministério da Ciência, Tecnologia e Inovação",20502,Financiadora de Estudos e Projetos - Finep,,,GF03,Nova linha de crédito FINEP,Assistência Empresarial ou Auxílio ao Produtor Rural,LOCAGF03,Não especificado,,Comunicação Governo Federal,https://www.gov.br/secom/pt-br/assuntos/noticias/2024/05/presidente-lula-anuncia-r-15-bilhoes-em-linhas-de-credito-para-empresas-do-rio-grande-do-sul,Recursos novos,1.500.000.000,,,,
federal,Dispõe sobre a concessão de subvenção econômica nas operações de crédito rural,22000,Ministério da Agricultura e Pecuária,22101,Ministério da Agricultura e Pecuária - Administração Direta,1144,Agropecuária Sustentável,0299,"Subvenção Econômica nas Aquisições do Governo Federal e na Formação de Estoques Reguladores e Estratégicos - AGF (Lei nº 8.427, de 1992)",Assistência Empresarial ou Auxílio ao Produtor Rural,02996502,Não especificado,MP Nº 1.225,Medida provisória e Portal da Transparência,,Recursos novos,1.920.514.000,,,,
