governo,docEmpenho,dataEmpenho,codigoFavorecido,nomeFavorecido,ufFavorecido,codUnidade,unidade,codOrgao,orgao,valorEmpenho,elementoDeDespesa,areaDeAtuacao,especificacaoAreaDeAtuacao,codAcao,acao,codLocalizador,observacaoEmpenho
federal,120001000012024NE000089,04/06/2024,120001,GABINETE DO COMANDANTE DA AERONAUTICA,DF,52111,Comando da Aeronáutica,52000,Ministério da Defesa,16132.50,Diárias - Militar,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0092 - APL: CECOMSAER (OPERACAO TAQUARI II) - PROC 67003.000004/2024-14 (DIARIA NACIONAL DO EXERCICIO)
federal,120001000012024NE000090,04/06/2024,120001,GABINETE DO COMANDANTE DA AERONAUTICA,DF,52111,Comando da Aeronáutica,52000,Ministério da Defesa,6681.48,Diárias - Militar,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO)
federal,120006000012024NE000642,03/06/2024,120006,GRUPAMENTO DE APOIO DE BRASILIA,DF,52111,Comando da Aeronáutica,52000,Ministério da Defesa,1538.80,Diárias - Militar,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOLICITACAO DE EMPENHO 24S0643?APL EMAER
federal,120006000012024NE000656,06/06/2024,120006,GRUPAMENTO DE APOIO DE BRASILIA,DF,52111,Comando da Aeronáutica,52000,Ministério da Defesa,8616.03,Diárias - Militar,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOLICITACAO DE EMPENHO 24S0675?APL CIAER
federal,120071000012024NE000839,04/06/2024,07.689.002/0001-89,EMBRAER S.A.,SP,52111,Comando da Aeronáutica,52000,Ministério da Defesa,850000.00,Outros Serviços de Terceiros - Pessoa Jurídica,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CONTRATO: 131/CAE-CELOG/2019 PAG  67106.009722/2019-31  SOLICITACAO  24S0869
federal,120071000012024NE000853,06/06/2024,02.278.560/0002-19,PRATT & WHITNEY CANADA DO BRASIL LTDA,MG,52111,Comando da Aeronáutica,52000,Ministério da Defesa,2997861.24,Material de Consumo,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CONTRATO: 048/CELOG-PAMASP/2022 PAG  67101.000233/2022-69  SOLICITACAO 24S0883
federal,120071000012024NE000854,06/06/2024,48.090.120/0001-53,SAFRAN HELICOPTER ENGINES INDUSTRIA E COMERCIO DO BRASI,RJ,52111,Comando da Aeronáutica,52000,Ministério da Defesa,1518033.28,Outros Serviços de Terceiros - Pessoa Jurídica,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CONTRATO: 033/CELOG-PAMASP/2023 PAG  67101.000005/2023-70   SOLICITACAO   24S0880
federal,120071000012024NE000862,06/06/2024,34.274.233/0001-02,VIBRA ENERGIA S.A,RJ,52111,Comando da Aeronáutica,52000,Ministério da Defesa,39999999.84,Material de Consumo,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CT 164/CAE-CELOG/2019 PAG  67106.010234/2019-76  SOLICITACAO 24S0899
federal,120071000012024NE000863,06/06/2024,14.607.609/0004-80,JETFLY REVENDEDORA DE COMBUSTIVEIS LTDA,RS,52111,Comando da Aeronáutica,52000,Ministério da Defesa,19763592.43,Material de Consumo,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CT 159/CAE-CELOG/2019 PAG  67106.010228/2019-19 67106.010228/2019-19  SOLICITACAO 24S0900
federal,120071000012024NE000864,06/06/2024,20.367.629/0001-81,HELICOPTEROS DO BRASIL S/A,MG,52111,Comando da Aeronáutica,52000,Ministério da Defesa,235339.19,Outros Serviços de Terceiros - Pessoa Jurídica,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CONTRATO: 089/CELOG-PAMASP/2023 PAG  67101.001808/2023-41  SOLICITACAO 24S0878
federal,120071000012024NE000865,06/06/2024,20.367.629/0001-81,HELICOPTEROS DO BRASIL S/A,MG,52111,Comando da Aeronáutica,52000,Ministério da Defesa,14310401.22,Outros Serviços de Terceiros - Pessoa Jurídica,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CONTRATO: 089/CELOG-PAMASP/2023 PAG 67101.001808/2023-41  SOLICITACAO 24S0877
federal,120071000012024NE000876,10/06/2024,02.278.560/0002-19,PRATT & WHITNEY CANADA DO BRASIL LTDA,MG,52111,Comando da Aeronáutica,52000,Ministério da Defesa,10000000.00,Material de Consumo,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CONTRATO: 048/CELOG-PAMASP/2022 PAG  67101.000233/2022-69  SOLICITACAO 24S0917
federal,120071000012024NE000886,11/06/2024,02.278.560/0001-38,PRATT & WHITNEY CANADA DO BRASIL LTDA,SP,52111,Comando da Aeronáutica,52000,Ministério da Defesa,1289453.43,Outros Serviços de Terceiros - Pessoa Jurídica,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CONTRATO: 031/CELOG-PAMASP/2022 PAG: 67101.000046/2022-85 SOLICITACAO DE EMPENHO 24S0923
federal,120071000012024NE000894,12/06/2024,08.057.011/0001-10,ATM MANUTENCAO DE AERONAVES E TURBINAS LTDA,MS,52111,Comando da Aeronáutica,52000,Ministério da Defesa,15717504.64,Outros Serviços de Terceiros - Pessoa Jurídica,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CONTRATO: 096/CAE-PAMALS/2021 PAG  67106.000006/2021-11  SOLICITACAO  24S0915
federal,120071000012024NE000895,12/06/2024,88.031.539/0001-59,AEL SISTEMAS S.A,RS,52111,Comando da Aeronáutica,52000,Ministério da Defesa,1861860.00,Outros Serviços de Terceiros - Pessoa Jurídica,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CONTRATO: 028/CAE-PAMALS/2020 PAG 67106.010920/2019-47  SOLICITACAO  24S0916
federal,120071000012024NE000902,13/06/2024,02.278.560/0002-19,PRATT & WHITNEY CANADA DO BRASIL LTDA,MG,52111,Comando da Aeronáutica,52000,Ministério da Defesa,1337255.76,Material de Consumo,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,CONTRATO: 048/CELOG-PAMASP/2022 PAG  67101.000233/2022-69   SOLICITACAO 24S0924
federal,120072000012024NE000720,29/05/2024,40.713.112/0001-04,RANCHO DISTRIBUIDORA LTDA,SC,52111,Comando da Aeronáutica,52000,Ministério da Defesa,0.00,Material de Consumo,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,REGISTRO DE ANULACAO/REFORCO/CANCELAMENTO DO EMPENHO N¤ 2024NE000720 EMITIDO EM 29/05/2024 COMPRA: 12007206900082024 - UASG MINUTA: 120072.
federal,120072000012024NE000724,10/06/2024,120072,SEGUNDO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,PR,52111,Comando da Aeronáutica,52000,Ministério da Defesa,61852.18,Diárias - Militar,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,"CONFORME SOLICITACAO 24M0323, SO LIRA - RAMAL 5760"
federal,120073000012024NE000375,04/06/2024,20.603.864/0001-05,AAAB COMERCIO DE ALIMENTOS LTDA,SC,52111,Comando da Aeronáutica,52000,Ministério da Defesa,2529.10,Material de Consumo,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,"APL: AQUISICAO DE GENEROS ALIMENTICIOS HORTIFRUTIGRANJEIROS PARA APOIO A OPERACAO TAQUARI II - PAM/S N¤: 0106/SSUB/2023 - PE: 022/BAFL/2023.SRP - CONFORME SOLICITACAO 24S0397. CODIGO PTA 24SUB009 - O FORNECEDOR SE VINCULA A SUA PROPOSTA E AO TERMO DE REFERENCIA, SENDO QUE SERAO RESPONSABILIZADOS ADMINISTRATIVAMENTE DE ACORDO COM O ARTIGO 155 DA LEI Nº 14.133/21, NESTES CASOS, O FORNECEDOR RECONHECE OS DIREITOS DA ADMINISTRACAO PREVISTO NO ARTIGO 104 DA MESMA LEI."
federal,120073000012024NE000376,04/06/2024,72.130.461/0001-90,VERENI DE LOURDES MEURER JUNCKES DISTRIBUIDORA DE FRUTA,SC,52111,Comando da Aeronáutica,52000,Ministério da Defesa,2916.00,Material de Consumo,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,"APL: AQUISICAO DE GENEROS ALIMENTICIOS HORTIFRUTIGRANJEIROS PARA APOIO A OPERACAO TAQUARI II - PAM/S N¤: 0106/SSUB/2023 - PE: 022/BAFL/2023.SRP - CONFORME SOLICITACAO 24S0398. CODIGO PTA 24SUB009 - O FORNECEDOR SE VINCULA A SUA PROPOSTA E AO TERMO DE REFERENCIA, SENDO QUE SERAO RESPONSABILIZADOS ADMINISTRATIVAMENTE DE ACORDO COM O ARTIGO 155 DA LEI Nº 14.133/21, NESTES CASOS, O FORNECEDOR RECONHECE OS DIREITOS DA ADMINISTRACAO PREVISTO NO ARTIGO 104 DA MESMA LEI."
federal,120090000012024NE000528,06/06/2024,EXW0W2525,DEPARTMENT OF THE AIR FORCE,-8,52111,Comando da Aeronáutica,52000,Ministério da Defesa,48214496.50,Material de Consumo,Defesa nacional,Defesa civil,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,"FINALIDADE/OBS. CONFORME RELACAO DE MATERIAL DE CONSUMO CONSTANTE    DA PO NR. 24T000528  - REQ. SP-FMS, CONVITE NR. 051403, DE 27JUN05"
