governo,docEmpenho,data,fase,documento,codAcao,acao,localizador,observacao,valor,especie
federal,EMP0100IN,,Liquidação,LIQ01EMP0100IN,00IN,Benefícios de Prestação Continuada (BPC) à pessoa com dficiência e da Renda Mensal Vitalícia (RMV) por invalidez,,Beneficiários: 95.109,134000000.00,
federal,EMP0100IN,,Pagamento,PAG01EMP0100IN,00IN,Benefícios de Prestação Continuada (BPC) à pessoa com dficiência e da Renda Mensal Vitalícia (RMV) por invalidez,,Beneficiários: 95.109,134000000.00,
federal,EMP0100SJ,,Liquidação,LIQ01EMP0100SJ,00SJ,Benefícios previdenciários,,Benefícios pagos: 2 milhões,4500000000.00,
federal,EMP0100SJ,,Pagamento,PAG01EMP0100SJ,00SJ,Benefícios previdenciários,,Benefícios pagos: 2 milhões,4500000000.00,
federal,EMP0188442,29/05/2024,Liquidação,LIQ01EMP0188442,88442,Transferência direta e condicionada de renda às famílias beneficiárias do programa Bolsa Família,,Família beneficiada (unidade): 641.422,432520000.00,
federal,EMP0188442,29/05/2024,Pagamento,PAG01EMP0188442,88442,Transferência direta e condicionada de renda às famílias beneficiárias do programa Bolsa Família,,Família beneficiada (unidade): 641.422,432520000.00,
estadual,EMP01GE01,06/05/2024,Liquidação,LIQ01EMP01GE01,GE01,Fundo a Fundo da Defesa Civil,,231 municípios receberam os valores,46200000.00,
estadual,EMP01GE01,06/05/2024,Pagamento,PAG01EMP01GE01,GE01,Fundo a Fundo da Defesa Civil,,231 municípios receberam os valores,46200000.00,
estadual,EMP01GE02,,Liquidação,LIQ01EMP01GE02,GE02,Hospitais com infraestrutura atingida e Hospitais de retaguarda,,Hospitais de retaguarda - R$ 100 mil para 35 hospitais com 18 a 29 leitos SUS,3500000.00,
estadual,EMP01GE02,,Pagamento,PAG01EMP01GE02,GE02,Hospitais com infraestrutura atingida e Hospitais de retaguarda,,Hospitais de retaguarda - R$ 100 mil para 35 hospitais com 18 a 29 leitos SUS,3500000.00,
estadual,EMP01GE04,,Liquidação,LIQ01EMP01GE04,GE04,Custeio para atenção primária,,Os 497 municípios do Estado foram contemplados,12700000.00,
estadual,EMP01GE04,,Pagamento,PAG01EMP01GE04,GE04,Custeio para atenção primária,,Os 497 municípios do Estado foram contemplados,12700000.00,
estadual,EMP01GE05,,Liquidação,LIQ01EMP01GE05,GE05,Equipamentos e Câmaras Frias para estabelecimentos de saúde,,Já há 92 câmaras para entrega imediata em 47 municípios,920000.00,
estadual,EMP01GE05,,Pagamento,PAG01EMP01GE05,GE05,Equipamentos e Câmaras Frias para estabelecimentos de saúde,,Já há 92 câmaras para entrega imediata em 47 municípios,920000.00,
estadual,EMP01GE11,17/05/2024,Liquidação,LIQ01EMP01GE11,GE11,Programa Volta por Cima,,1º lote: 7.269 famílias,18172500.00,
estadual,EMP01GE11,17/05/2024,Pagamento,PAG01EMP01GE11,GE11,Programa Volta por Cima,,1º lote: 7.269 famílias,18172500.00,
estadual,EMP01GE14,,Liquidação,LIQ01EMP01GE14,GE14,"Educação - Agiliza, merenda e mobiliário",,"Parcela eventual eventos climáticos, para serem utilizados em ações de investimento e custeio, contratação de serviços e compra de materiais de consumo nas 636 instituições escolares afetadas.",22100000.00,
estadual,EMP01GE14,,Pagamento,PAG01EMP01GE14,GE14,"Educação - Agiliza, merenda e mobiliário",,"Parcela eventual eventos climáticos, para serem utilizados em ações de investimento e custeio, contratação de serviços e compra de materiais de consumo nas 636 instituições escolares afetadas.",22100000.00,
estadual,EMP01GE17,10/05/2024,Liquidação,LIQ01EMP01GE17,GE17,Antecipação da bolsa Todo Jovem na Escola,,Pagamento da bolsa-auxílio do Programa Todo Jovem na Escola pago de forma adiantada contemplando mais de 83 mil alunos,12900000.00,
estadual,EMP01GE17,10/05/2024,Pagamento,PAG01EMP01GE17,GE17,Antecipação da bolsa Todo Jovem na Escola,,Pagamento da bolsa-auxílio do Programa Todo Jovem na Escola pago de forma adiantada contemplando mais de 83 mil alunos,12900000.00,
estadual,EMP01GE18,13/05/2024,Liquidação,LIQ01EMP01GE18,GE18,Autonomia Financeira - Escolas,,Os recursos podem ser utilizados em despesas que garantem o funcionamento e a melhoria da infraestrutura física e pedagógica das unidades escolares,10000000.00,
estadual,EMP01GE18,13/05/2024,Pagamento,PAG01EMP01GE18,GE18,Autonomia Financeira - Escolas,,Os recursos podem ser utilizados em despesas que garantem o funcionamento e a melhoria da infraestrutura física e pedagógica das unidades escolares,10000000.00,
estadual,EMP01GE19,06/06/2024,Liquidação,LIQ01EMP01GE19,GE19,Pix SOS Rio Grande do Sul,,O valor foi distribuído para 10 mil famílias,20156000.00,
estadual,EMP01GE19,06/06/2024,Pagamento,PAG01EMP01GE19,GE19,Pix SOS Rio Grande do Sul,,O valor foi distribuído para 10 mil famílias,20156000.00,
estadual,EMP01GE20,05/06/2024,Liquidação,LIQ01EMP01GE20,GE20,Plano para reconstrução das estradas,,"A nova estrutura sobre o Rio Forqueta, que ficará localizada no km 75 da ERS-130, entre Arroio do Meio e Lajeado",14050000.00,
estadual,EMP01GE20,05/06/2024,Pagamento,PAG01EMP01GE20,GE20,Plano para reconstrução das estradas,,"A nova estrutura sobre o Rio Forqueta, que ficará localizada no km 75 da ERS-130, entre Arroio do Meio e Lajeado",14050000.00,
estadual,EMP01GE21,07/06/2024,Liquidação,LIQ01EMP01GE21,GE21,Antecipação de metade do 13º salário,,"Antecipação de metade do 13º salário para mais de 350 mil vínculos de servidores ativos, inativos e pensionistas do Executivo",900000000.00,
estadual,EMP01GE21,07/06/2024,Pagamento,PAG01EMP01GE21,GE21,Antecipação de metade do 13º salário,,"Antecipação de metade do 13º salário para mais de 350 mil vínculos de servidores ativos, inativos e pensionistas do Executivo",900000000.00,
federal,EMP01GF04,,Liquidação,LIQ01EMP01GF04,GF04,Adiantamento da restituição do Imposto de Renda da Pessoas Físicas,,Beneficiados: 900 mil pessoas,1100000000.00,
federal,EMP01GF04,,Pagamento,PAG01EMP01GF04,GF04,Adiantamento da restituição do Imposto de Renda da Pessoas Físicas,,Beneficiados: 900 mil pessoas,1100000000.00,
federal,EMP01GF08,,Liquidação,LIQ01EMP01GF08,GF08,Saque Calamidade,,557 mil trabalhadors em 411 municípios,1800000000.00,
federal,EMP01GF08,,Pagamento,PAG01EMP01GF08,GF08,Saque Calamidade,,557 mil trabalhadors em 411 municípios,1800000000.00,
federal,EMP01GF12,,Liquidação,LIQ01EMP01GF12,GF12,Projeção linha de crédito Pronampe,,,1084006781.00,
federal,EMP01GF12,,Pagamento,PAG01EMP01GF12,GF12,Projeção linha de crédito Pronampe,,,1084006781.00,
federal,EMP01GF13,,Liquidação,LIQ01EMP01GF13,GF13,Projeção linha de crédito Pronaf e Pronamp,,,110200000.00,
federal,EMP01GF13,,Pagamento,PAG01EMP01GF13,GF13,Projeção linha de crédito Pronaf e Pronamp,,,110200000.00,
estadual,EMP02GE01,07/06/2024,Liquidação,LIQ02EMP02GE01,GE01,Fundo a Fundo da Defesa Civil,,37 municípios receberam os valores,9750000.00,
estadual,EMP02GE01,07/06/2024,Pagamento,PAG02EMP02GE01,GE01,Fundo a Fundo da Defesa Civil,,37 municípios receberam os valores,9750000.00,
estadual,EMP02GE02,,Liquidação,LIQ01EMP02GE02,GE02,Hospitais com infraestrutura atingida e Hospitais de retaguarda,,Hospitais de retaguarda - R$ 100 mil para 90 hospitais com 30 a 49 leitos SUS,9000000.00,
estadual,EMP02GE02,,Pagamento,PAG01EMP02GE02,GE02,Hospitais com infraestrutura atingida e Hospitais de retaguarda,,Hospitais de retaguarda - R$ 100 mil para 90 hospitais com 30 a 49 leitos SUS,9000000.00,
estadual,EMP02GE11,24/05/2024,Liquidação,LIQ01EMP02GE11,GE11,Programa Volta por Cima,,2º lote: 32.061 famílias,80152500.00,
estadual,EMP02GE11,24/05/2024,Pagamento,PAG01EMP02GE11,GE11,Programa Volta por Cima,,2º lote: 32.061 famílias,80152500.00,
estadual,EMP02GE14,,Liquidação,LIQ01EMP02GE14,GE14,"Educação - Agiliza, merenda e mobiliário",,"Para aquisição de alimentação escolar, beneficiando as 625 escolas mais afetadas e aquelas que estão servindo de abrigo",18200000.00,
estadual,EMP02GE14,,Pagamento,PAG01EMP02GE14,GE14,"Educação - Agiliza, merenda e mobiliário",,"Para aquisição de alimentação escolar, beneficiando as 625 escolas mais afetadas e aquelas que estão servindo de abrigo",18200000.00,
